Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1677826	1677826	Synura sungminbooi	B.Y..Jo, W.Shin, J.I.Kim & P.Siver, 2016	SPECIES				no	heterokonts	Eukaryota	2759					Synurophyceae	33859	Synurales	420622	Mallomonadaceae	420617	Synura	2991	Synura sungminbooi	1677826	TRUE
1677971	1677971	Halocafeteria sp. H3		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. H3	1677971	FALSE
1677972	1677972	Halocafeteria sp. H4		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. H4	1677972	FALSE
1677973	1677973	Halocafeteria sp. H5		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. H5	1677973	FALSE
1677974	1677974	Halocafeteria sp. H6		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. H6	1677974	FALSE
1677975	1677975	Halocafeteria sp. Lake4		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. Lake4	1677975	FALSE
1677976	1677976	Halocafeteria sp. OH1A		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. OH1A	1677976	FALSE
1677977	1677977	Halocafeteria sp. OH2A		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. OH2A	1677977	FALSE
1677978	1677978	Halocafeteria sp. OH3A		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. OH3A	1677978	FALSE
1677979	1677979	Halocafeteria sp. S12		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. S12	1677979	FALSE
